1 2 3 4
TCGA-BH-A0HA 38.235 117.1069 230.8456 43.1357
TCGA-BH-A0HB 101.2973 97.5789 62.609 34.9406
TCGA-BH-A0HF 65.6615 3.3457 202.0716 164.0844
TCGA-BH-A0HI 3.6879 46.5475 120.2252 193.0882
TCGA-BH-A0HK 71.3956 0 84.5478 206.7654
TCGA-BH-A0HL 0.2129 165.2874 31.6749 0.0983
TCGA-BH-A0HN 3.456 0 15.6926 274.1642
TCGA-BH-A0HO 0.1613 185.3855 50.0962 87.7014
TCGA-BH-A0HP 49.8394 0.0229 113.9825 195.0022
TCGA-BH-A0HQ 33.4236 18.6343 195.7226 154.2657
TCGA-BH-A0HU 93.0415 16.4151 39.0426 134.6713
TCGA-BH-A0HW 0.384 206.5326 13.8497 0.5401
TCGA-BH-A0HX 50.2807 129.3067 130 0
TCGA-BH-A0HY 91.9565 13.6565 174.0957 135.7879
TCGA-BH-A0RX 232.4176 0.0608 72.1769 17.504
TCGA-BH-A0W3 0.0067 103.3792 28.3238 86.1587
TCGA-BH-A0W4 29.0454 43.1073 179.2947 119.0992
TCGA-BH-A0W5 47.581 22.7446 149.0659 115.0239
TCGA-BH-A0W7 80.8832 0.1026 176.3366 133.9982
TCGA-BH-A0WA 197.2386 3.2197 84.7566 0
TCGA-BH-A18F 69.8012 5e-04 183.2734 98.2959
TCGA-BH-A18G 243.7113 0 78.5044 67.4532
TCGA-BH-A18H 47.4552 110.8601 52.7421 60.2309
TCGA-BH-A18I 35.7564 37.5266 260.8009 69.4337
TCGA-BH-A18J 72.2205 2.762 187.036 143.832
TCGA-BH-A18K 60.1964 16.305 190.6734 120.0226
TCGA-BH-A18L 18.9071 180.5247 9.1101 0.0235
TCGA-BH-A18M 42.1315 41.2122 232.3239 93.1212
TCGA-BH-A18N 0.0545 162.2591 54.0209 23.2367
TCGA-BH-A18P 50.6937 35.468 131.6833 85.593
TCGA-BH-A18Q 190.0022 5.6413 22.9523 11.4496
TCGA-BH-A18R 90.565 104.9945 53.4917 1.6704
TCGA-BH-A18S 0.9167 55.3482 15.7484 199.9091
TCGA-BH-A18T 225.5396 3.3586 21.3683 0
TCGA-BH-A18U 78.3485 43.6733 121.0613 118.2857
TCGA-BH-A18V 199.2065 1.8966 86.4742 0
TCGA-BH-A1EO 53.3582 39.8717 340.1786 33.2053
TCGA-BH-A1ES 57.4484 98.7556 137.1401 2.8627
TCGA-BH-A1ET 1.8526 39.0035 119.0719 166.448
TCGA-BH-A1EU 21.7432 36.5699 185.4639 100.1869
TCGA-BH-A1EV 82.2905 0 191.2957 139.7075
TCGA-BH-A1EW 53.4739 104.6312 63.3477 22.7096
TCGA-BH-A1F0 165.4176 0.3104 97.3393 8.3404
TCGA-C8-A12K 217.3009 0 30.7105 6.8902
TCGA-C8-A12L 171.652 0 95.1362 27.2441
TCGA-C8-A12M 13.1531 177.9176 28.6864 0
TCGA-C8-A12N 35.3355 5.1789 272.2686 156.6273
TCGA-C8-A12O 66.7836 49.2296 248.0859 74.7902
TCGA-C8-A12P 145.9507 0.0051 203.5979 40.1202
TCGA-C8-A12Q 101.5662 19.2294 183.0933 66.4111
TCGA-C8-A12T 133.6942 7.8033 280.4393 98.4543
TCGA-C8-A12U 77.8458 125.694 5.5282 0
TCGA-C8-A12V 186.2906 0 37.467 7.3916
TCGA-C8-A12W 47.7047 108.7643 232.8334 3.528
TCGA-C8-A12X 48.123 133.1804 30.7565 31.4053
TCGA-C8-A12Y 70.3341 23.9735 83.2036 158.0062
TCGA-C8-A12Z 139.0353 0.1439 148.7234 133.4288
TCGA-C8-A130 111.7185 34.3386 94.5315 38.9087
TCGA-C8-A131 170.735 0 173.0908 58.5462
TCGA-C8-A132 76.599 50.8676 233.7889 40.5017
TCGA-C8-A133 2e-04 200.811 0 82.1242
TCGA-C8-A134 187.0831 3.9929 29.7251 0
TCGA-C8-A135 166.6229 0.2338 132.9097 81.8826
